Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
68bdf3c4-5e9d-4b05-b37b-eec4c314aa52,"2020-06-13, 01:13:02 AM",Administrator,GetAccountPasswordPolicy,,,,us-east-1,,1.64.208.108
a34cd39e-300c-420f-b1f1-0db15b1573bb,"2020-06-13, 01:13:02 AM",Administrator,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,1.64.208.108
2177c6f5-4239-43e3-b186-5676a180d2b7,"2020-06-13, 01:13:01 AM",Administrator,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,1.64.208.108
6dede4f9-d8f4-4bad-bf67-b48b4e4f478b,"2020-06-13, 01:13:01 AM",Administrator,GetPolicy,,,,us-east-1,,1.64.208.108
991bb5d9-67bf-4da7-b6ba-54186d3f5237,"2020-06-13, 01:13:01 AM",Administrator,ListUsers,,,,us-east-1,,1.64.208.108
a895facf-baa9-4f75-922a-ca1f6a62a8a7,"2020-06-13, 01:13:01 AM",Administrator,ListGroupsForUser,,,,us-east-1,,1.64.208.108
cc5f88cd-5279-4416-a6c8-e9c05679c617,"2020-06-13, 01:13:01 AM",Administrator,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,1.64.208.108
e7df0f37-e6ce-4f49-9423-cdaf94554a14,"2020-06-13, 01:13:00 AM",Administrator,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4E5Q7FKG4HU5AHEO7""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::835205409421:user/CloudTrail""}]",,us-east-1,,1.64.208.108
2816126b-9862-432f-b004-6bc058404022,"2020-06-13, 01:12:38 AM",Administrator,ListAttachedGroupPolicies,,,,us-east-1,,1.64.208.108
4e6a6ce6-2250-480b-a94c-a6df1697b0a8,"2020-06-13, 01:12:38 AM",Administrator,ListAttachedGroupPolicies,,,,us-east-1,,1.64.208.108
cbd974f2-660d-4a79-980e-1328cf610d7b,"2020-06-13, 01:12:38 AM",Administrator,ListAttachedGroupPolicies,,,,us-east-1,,1.64.208.108
343efb31-d4ee-4256-ba9a-174bfbc92033,"2020-06-13, 01:11:49 AM",Administrator,ListPolicies,,,,us-east-1,,1.64.208.108
fbc162bd-c85b-4a15-b015-569feb1b3ad8,"2020-06-13, 01:11:49 AM",Administrator,ListGroups,,,,us-east-1,,1.64.208.108
b18d3a63-1ed7-402d-bf9e-98150d4cb3cc,"2020-06-13, 01:11:48 AM",Administrator,ListUsers,,,,us-east-1,,1.64.208.108
c80f9934-ad42-4007-8294-85a6f919ca93,"2020-06-13, 01:11:48 AM",Administrator,ListUsers,,,,us-east-1,,1.64.208.108
